INFO 2025-08-14 19:40:12,227 basehttp 6048 28932 "GET /admin/services/typeservice/ HTTP/1.1" 200 20988
INFO 2025-08-14 19:40:12,351 basehttp 6048 28932 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-08-14 19:40:12,686 log 6048 28932 Not Found: /favicon.ico
WARNING 2025-08-14 19:40:12,687 basehttp 6048 28932 "GET /favicon.ico HTTP/1.1" 404 5415
INFO 2025-08-14 19:40:15,714 basehttp 6048 28932 "GET /admin/services/typeservice/1/change/ HTTP/1.1" 200 20618
INFO 2025-08-14 19:40:15,804 basehttp 6048 28932 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 19:43:03,469 autoreload 6048 32876 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\models.py changed, reloading.
INFO 2025-08-14 19:43:04,470 autoreload 22340 32424 Watching for file changes with StatReloader
INFO 2025-08-14 19:44:30,137 autoreload 22340 32424 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\views.py changed, reloading.
INFO 2025-08-14 19:44:31,405 autoreload 32188 24668 Watching for file changes with StatReloader
INFO 2025-08-14 19:45:53,735 autoreload 32188 24668 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:45:54,795 autoreload 33484 31716 Watching for file changes with StatReloader
INFO 2025-08-14 19:45:56,389 autoreload 33484 31716 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:45:57,503 autoreload 31896 1036 Watching for file changes with StatReloader
INFO 2025-08-14 19:46:41,709 autoreload 31896 1036 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:46:42,773 autoreload 18400 20344 Watching for file changes with StatReloader
INFO 2025-08-14 19:46:53,867 autoreload 18400 20344 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:46:54,806 autoreload 7228 31312 Watching for file changes with StatReloader
INFO 2025-08-14 19:46:57,215 autoreload 7228 31312 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:46:58,152 autoreload 2268 31900 Watching for file changes with StatReloader
INFO 2025-08-14 19:47:01,598 autoreload 2268 31900 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:47:02,621 autoreload 20580 20564 Watching for file changes with StatReloader
INFO 2025-08-14 19:47:16,908 autoreload 20580 20564 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:47:17,900 autoreload 22484 20904 Watching for file changes with StatReloader
INFO 2025-08-14 19:47:47,977 autoreload 22484 20904 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:47:48,979 autoreload 24736 32468 Watching for file changes with StatReloader
INFO 2025-08-14 19:47:51,366 autoreload 24736 32468 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:47:52,374 autoreload 30140 23808 Watching for file changes with StatReloader
INFO 2025-08-14 19:49:12,327 autoreload 30140 23808 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:49:13,369 autoreload 28376 19468 Watching for file changes with StatReloader
INFO 2025-08-14 19:49:15,952 autoreload 28376 19468 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:49:16,979 autoreload 13336 27040 Watching for file changes with StatReloader
INFO 2025-08-14 19:49:30,358 autoreload 13336 27040 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\admin.py changed, reloading.
INFO 2025-08-14 19:49:31,408 autoreload 30328 14036 Watching for file changes with StatReloader
